x0,x1,x10,x11,x12,x13,x14,x15,x16,x17,x2,x3,x4,x5,x6,x7,x8,x9,y0,y1,y10,y11,y12,y13,y14,y15,y16,y17,y2,y3,y4,y5,y6,y7,y8,y9
0.56,0.51,,0.56,0.56,,0.55,0.56,0.52,,0.47,0.50,0.54,0.56,0.64,0.73,0.48,0.48,0.23,0.29,,0.60,0.85,,0.21,0.21,0.20,,0.28,0.38,0.26,0.29,0.25,0.22,0.60,0.86
0.56,0.51,,0.55,0.56,,0.55,0.56,0.52,,0.47,0.50,0.54,0.56,0.64,0.73,0.48,0.47,0.22,0.29,,0.60,0.85,,0.21,0.21,0.20,,0.28,0.38,0.27,0.29,0.24,0.21,0.59,0.86
0.56,0.51,,0.55,0.56,,0.55,0.56,0.52,,0.47,0.50,0.54,0.56,0.64,0.72,0.48,0.47,0.22,0.29,,0.60,0.85,,0.21,0.21,0.20,,0.28,0.38,0.27,0.29,0.24,0.21,0.60,0.86
0.56,0.51,,0.56,0.56,,0.55,0.56,0.52,,0.47,0.50,0.54,0.56,0.64,0.72,0.48,0.47,0.22,0.29,,0.60,0.84,,0.21,0.21,0.20,,0.28,0.38,0.27,0.29,0.24,0.21,0.60,0.86
0.56,0.52,,0.55,0.56,,0.55,0.56,0.52,,0.47,0.50,0.54,0.56,0.64,0.72,0.48,0.47,0.22,0.29,,0.60,0.85,,0.21,0.21,0.20,,0.28,0.38,0.27,0.29,0.24,0.21,0.60,0.86
0.56,0.51,,0.55,0.56,,0.55,0.56,0.52,,0.47,0.50,0.54,0.56,0.64,0.72,0.48,0.47,0.22,0.29,,0.60,0.85,,0.21,0.21,0.20,,0.28,0.38,0.27,0.29,0.24,0.21,0.60,0.86
0.56,0.52,,0.55,0.56,,0.55,0.56,0.52,,0.47,0.50,0.54,0.56,0.64,0.72,0.48,0.47,0.22,0.29,,0.60,0.85,,0.21,0.21,0.20,,0.28,0.38,0.27,0.29,0.24,0.21,0.60,0.86
0.56,0.52,,0.55,0.56,,0.55,0.56,0.52,,0.47,0.50,0.54,0.56,0.64,0.73,0.48,0.47,0.22,0.29,,0.60,0.85,,0.21,0.21,0.20,,0.28,0.38,0.27,0.29,0.24,0.21,0.60,0.86
0.56,0.52,,0.55,0.56,,0.55,0.56,0.52,,0.47,0.50,0.54,0.56,0.64,0.73,0.48,0.47,0.22,0.29,,0.60,0.85,,0.21,0.21,0.20,,0.28,0.38,0.27,0.29,0.24,0.21,0.60,0.86
0.56,0.52,,0.55,0.56,,0.55,0.56,0.52,,0.47,0.50,0.54,0.56,0.64,0.73,0.48,0.47,0.22,0.29,,0.60,0.84,,0.21,0.21,0.20,,0.28,0.38,0.27,0.29,0.24,0.21,0.60,0.86
0.56,0.52,,0.55,0.56,,0.56,0.56,0.52,,0.47,0.50,0.54,0.56,0.65,0.73,0.48,0.47,0.22,0.29,,0.60,0.85,,0.21,0.21,0.20,,0.28,0.38,0.27,0.29,0.24,0.21,0.60,0.86
